"rho" "phi" "sigma" "beta" "alpha" "gamma"
"1" 0.810177931372891 3.37530441744353 0.15996291301365 0.372549605006498 0.394266696722687 0.93967381064015
"2" 1.2625706687686 6.59125269151575 0.172031687325216 0.186441959910423 0.157825691874937 0.16671176836722
"3" 0.0633392539727668 4.60727228519058 0.711510936668804 0.163469619193555 0.10068560617531 0.707869810139528
"4" 0.618961533820506 17.2282288852771 0.334714677844334 0.175542759679437 0.802472847483711 0.205428878641604
"5" 0.338517714485144 13.8704869757515 0.0655328029642988 0.276790477246582 0.14658823820147 0.195416874114017
"6" 1.50268283683857 16.2082121232899 1.01544928069156 0.152613023143203 0.590316375276806 0.772872003201753
"7" 1.65899054497381 18.4397223523203 1.82607322235396 0.390022459991867 0.627902146068144 0.439451353862491
"8" 1.41789618394146 2.58290394136566 0.425549857908274 0.373916923341312 0.287097195811969 0.0763573389579376
"9" 0.359685885842607 4.99112175131034 1.18894746289308 0.104161413405174 0.912962989730918 0.425598214228687
"10" 1.97416661440054 19.5005279721019 1.31848745093001 0.202921466552652 0.345526773752811 0.70289338798258
"11" 0.095055397687247 3.4850140560593 1.08721587461852 0.267005213509817 0.883800870063299 0.247997302563038
"12" 1.95432367071459 6.31142161632722 0.201252496699453 0.178206170778659 0.0661559310111832 0.359176838879648
"13" 1.70611990086659 13.4381829260383 2.44344393373467 0.457219210373296 0.74428215836919 0.139110007251605
"14" 0.259708469280408 11.9612177214211 0.354919507902066 0.444746837552105 0.103539831490447 0.0492254575302858
"15" 1.60060216377107 12.8230856489349 1.24274375538205 0.31953108734524 0.0223361370060177 0.13587292772302
"16" 1.77003576944948 12.2603388050006 1.12827410904304 0.0656575232496834 0.771597379576373 0.484614358113114
"17" 1.17259609226936 10.5112487129476 1.51576226196734 0.074371769780555 0.402553415330268 0.0118191671489123
"18" 1.30250681955866 18.1523518084266 0.26499375754221 0.435151265133754 0.309745481802176 0.557865476419725
"19" 0.118634054919572 13.0569721086483 0.0115119300062361 0.169346731336451 0.430128612670939 0.985924238673761
"20" 0.203920796758861 19.6183784613095 1.53085870918013 0.457650119677315 0.790295619501973 0.635636377819797
"21" 1.61178394117867 10.1137760994607 0.100257604408398 0.0763788033041887 0.542031269637976 0.103183631901629
"22" 1.49417224111052 16.3014894359471 0.11690330946554 0.330798203696759 0.650041704689751 0.516917191348122
"23" 0.758402101895107 12.960012174964 1.71771589453264 0.37036764930599 0.700689627613299 0.760770430419403
"24" 0.93166815607609 16.5988620400146 1.1264542365955 0.449268708270081 0.859238000074194 0.610105443525494
"25" 0.608639614592123 5.33578663619535 2.03297756049713 0.22522621508168 0.400483844859991 0.562952564160306
"26" 0.00495895034276016 4.88494663603238 0.502537936785562 0.301044317175443 0.587269693646314 0.0746134277682618
"27" 1.72398881242927 6.49334304882879 0.00696398467490716 0.250668312636013 0.61654528580818 0.532119750082659
"28" 1.20452001980863 18.6699729680549 0.286302286448128 0.193967867675383 0.533288068327238 0.243395059727066
"29" 0.455249560951155 4.14996489387704 1.64621398368191 0.295746133700699 0.264150886494982 0.262206698937267
"30" 1.80478615510011 14.7180982500764 0.825140289032009 0.316774772787799 0.34311023355154 0.267449262218309
"31" 1.81632363099405 17.2997072062156 0.444387424247127 0.357583668621373 0.981796596687803 0.691529926168317
"32" 1.15037305162696 8.91639666677552 1.19799982566422 0.00578820062271136 0.437291294770798 0.906454810812387
"33" 0.415478137506787 10.9788696613811 1.10707257204142 0.124257381265904 0.804805233853196 0.670113258834005
"34" 0.183129803547802 6.84914958625866 0.963168690471191 0.323434367620523 0.348951014394905 0.603295645686947
"35" 1.43011374006788 1.31333686114106 1.70455981788369 0.0597393225159197 0.236214423228895 0.518306257194906
"36" 0.458998719288502 0.644191527701748 1.57570124900823 0.0164063849655836 0.420333085902842 0.46504624814822
"37" 0.486275469142129 8.79442363798652 0.88311886399554 0.488601790881928 0.0208421152066356 0.305899050215625
"38" 1.86405481301024 14.8340894908012 0.403682548624472 0.0733462269469913 0.528110210080091 0.544622859873925
"39" 1.8300023135858 4.00825281461169 0.0353820597177089 0.0488668882551013 0.61059654116668 0.524145467007267
"40" 1.28697953633049 0.915882268662764 0.765761069196742 0.137069314779572 0.593801871355806 0.598903059046799
"41" 1.03918712259786 12.121574219179 0.864942134568472 0.395230130802312 0.634083281929114 0.414282569094212
"42" 0.256763371682609 18.5905544321577 1.7865194443948 0.324425176493865 0.998551164032376 0.862273634737773
"43" 0.797457239530299 16.6550995487237 0.520988335452525 0.495495046443206 0.427558229637465 0.870490205553194
"44" 0.676846947980396 17.9926043264277 2.4236950001432 0.424173747349934 0.704403748974853 0.85814572754316
