"LocID" "Location" "VarID" "Variant" "Time" "MidPeriod" "SexID" "Sex" "AgeGrpStart" "AgeGrpSpan" "mx" "qx" "px" "lx" "dx" "Lx" "Sx" "Tx" "ex" "ax"
"138511" 356 "India" 2 "Medium" "1950-1955" 1953 1 "Male" 0 1 0.186864 0.16607197 0.83392803 100000 16607 88873 0.78648203 3712054 37.121 0.33
"138512" 356 "India" 2 "Medium" "1950-1955" 1953 2 "Female" 0 1 0.181704 0.1625103 0.8374897 100000 16251 89437 0.77543566 3522238 35.222 0.35
"138513" 356 "India" 2 "Medium" "1950-1955" 1953 3 "Both" 0 1 0.18435915 0.16435241 0.83564759 100000 16435 89148 0.78102812 3618677 36.187 0.339709
"138514" 356 "India" 2 "Medium" "1950-1955" 1953 1 "Male" 1 4 0.036234 0.13224719 0.86775281 83393 11028 304368 0.90056168 3623180 43.447 1.352
"138515" 356 "India" 2 "Medium" "1950-1955" 1953 2 "Female" 1 4 0.046642 0.16612052 0.83387948 83749 13912 298281 0.87783505 3432802 40.989 1.361
"138516" 356 "India" 2 "Medium" "1950-1955" 1953 3 "Both" 1 4 0.04128643 0.14889446 0.85110554 83565 12442 301366 0.8894743 3529529 42.237 1.356369
"138517" 356 "India" 2 "Medium" "1950-1955" 1953 1 "Male" 5 5 0.008679 0.04247343 0.95752657 72364 3074 354138 0.96233969 3318813 45.863 2.5
"138518" 356 "India" 2 "Medium" "1950-1955" 1953 2 "Female" 5 5 0.010378 0.05057776 0.94942224 69837 3532 340352 0.95651726 3134521 44.884 2.5
"138519" 356 "India" 2 "Medium" "1950-1955" 1953 3 "Both" 5 5 0.00951187 0.04645469 0.95354531 71122 3304 347352 0.95947981 3228163 45.389 2.5
"138520" 356 "India" 2 "Medium" "1950-1955" 1953 1 "Male" 10 5 0.006635 0.03263369 0.96736631 69291 2261 340801 0.96308241 2964675 42.786 2.5
"138521" 356 "India" 2 "Medium" "1950-1955" 1953 2 "Female" 10 5 0.007334 0.03600976 0.96399024 66304 2388 325553 0.96116621 2794168 42.142 2.5
"138522" 356 "India" 2 "Medium" "1950-1955" 1953 3 "Both" 10 5 0.00697899 0.03429657 0.96570343 67818 2326 333277 0.96213942 2880811 42.478 2.5
"138523" 356 "India" 2 "Medium" "1950-1955" 1953 1 "Male" 15 5 0.008733 0.04276231 0.95723769 67030 2866 328219 0.95219728 2623874 39.145 2.582801
"138524" 356 "India" 2 "Medium" "1950-1955" 1953 2 "Female" 15 5 0.008752 0.04284622 0.95715378 63917 2739 312910 0.9523343 2468615 38.622 2.563186
"138525" 356 "India" 2 "Medium" "1950-1955" 1953 3 "Both" 15 5 0.00874235 0.04280361 0.95719639 65493 2803 320659 0.95226422 2547533 38.898 2.57315
"138526" 356 "India" 2 "Medium" "1950-1955" 1953 1 "Male" 20 5 0.010774 0.05247855 0.94752145 64163 3367 312530 0.94506673 2295655 35.778 2.539021
"138527" 356 "India" 2 "Medium" "1950-1955" 1953 2 "Female" 20 5 0.010841 0.05280588 0.94719412 61178 3231 297995 0.94270544 2155705 35.237 2.555979
"138528" 356 "India" 2 "Medium" "1950-1955" 1953 3 "Both" 20 5 0.01080651 0.05263735 0.94736265 62689 3300 305352 0.94392742 2226874 35.522 2.547249
"138529" 356 "India" 2 "Medium" "1950-1955" 1953 1 "Male" 25 5 0.01173 0.05698707 0.94301293 60796 3465 295361 0.94059014 1983125 32.619 2.512289
"138530" 356 "India" 2 "Medium" "1950-1955" 1953 2 "Female" 25 5 0.012761 0.06186352 0.93813648 57948 3585 280922 0.93309996 1857710 32.058 2.540688
"138531" 356 "India" 2 "Medium" "1950-1955" 1953 3 "Both" 25 5 0.01222305 0.05932131 0.94067869 59389 3523 288231 0.93700966 1921521 32.355 2.52587
"138532" 356 "India" 2 "Medium" "1950-1955" 1953 1 "Male" 30 5 0.012851 0.06227274 0.93772726 57331 3570 277814 0.93330616 1687764 29.439 2.523007
"138533" 356 "India" 2 "Medium" "1950-1955" 1953 2 "Female" 30 5 0.014973 0.07219729 0.92780271 54363 3925 262128 0.92255766 1576788 29.005 2.532205
"138534" 356 "India" 2 "Medium" "1950-1955" 1953 3 "Both" 30 5 0.01386208 0.06701347 0.93298653 55866 3744 270075 0.92817391 1633291 29.236 2.527389
"138535" 356 "India" 2 "Medium" "1950-1955" 1953 1 "Male" 35 5 0.014896 0.07184199 0.92815801 53761 3862 259285 0.92231928 1409950 26.226 2.534932
"138536" 356 "India" 2 "Medium" "1950-1955" 1953 2 "Female" 35 5 0.0173 0.08294612 0.91705388 50438 4184 241828 0.91139169 1314660 26.065 2.52337
"138537" 356 "India" 2 "Medium" "1950-1955" 1953 3 "Both" 35 5 0.01604406 0.07716173 0.92283827 52123 4022 250676 0.9170853 1363216 26.154 2.52941
