"V1" "V2" "V3" "V4"
"1" 0.893333333333333 1 1992.5 12375
"2" 0.861888619854722 1 1998.5 10325
"3" 0.795778273554145 1 2005.5 5827
"4" 0.895091497654753 2 1992.5 15137
"5" 0.863979660509983 2 1998.5 13373
"6" 0.79681105047749 2 2005.5 11728
"7" 0.894568121104185 3 1992.5 16845
"8" 0.860651989285948 3 1998.5 15307
"9" 0.799524940617577 3 2005.5 14735
"10" 0.896243798724309 4 1992.5 14110
"11" 0.85437057036787 4 1998.5 17778
"12" 0.790043038269164 4 2005.5 17194
"13" 0.921934369602763 5 1992.5 2895
"14" 0.851978873722477 5 1998.5 14579
"15" 0.768598813327248 5 2005.5 19719
