1950	111.8	256.9	293.2	242.9	168.1	82.3	25.4
1955	111.6	256.6	292.9	242.6	167.9	82.2	25.4
1960	111.1	255.5	283.5	241.1	167.2	81.8	24.2
1965	114.1	262.2	273.1	228.8	158.4	78.2	22.7
1970	114.7	263.7	257.5	202.7	132.8	61.4	20.1
1975	115.0	264.5	243.7	179.6	111.1	48.5	15.4
1980	113.3	260.4	226.3	154.3	89.4	38.4	11.8
1985	112.9	257.5	207.8	130.3	70.9	29.8	9.0
1990	104.1	245.4	188.1	109.8	56.7	22.8	6.3
1995	88.8	230.0	173.7	96.1	47.2	18.8	5.2
2000	72.2	218.4	164.1	85.4	39.5	15.2	4.6
2005	50.6	206.6	155.0	73.4	31.2	11.2	3.8
2010	32.8	203.2	157.0	67.0	27.0	9.1	3.7
2015	31.0	168.8	137.8	77.3	41.3	12.8	4.0
2020	29.6	158.5	130.7	74.6	40.5	12.9	4.0
2025	28.3	149.4	124.5	72.3	39.9	13.1	4.1
2030	27.3	141.8	119.4	70.6	39.6	13.3	4.1
2035	26.4	128.2	113.1	72.0	42.8	15.7	4.8
2040	25.7	116.4	107.8	73.1	45.5	17.7	5.4
2045	25.1	106.7	103.5	74.3	48.0	19.5	6.0
2050	24.7	98.5	100.0	75.6	50.3	21.1	6.5
2055	24.4	91.7	97.2	77.0	52.4	22.6	6.9
